Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C3 Score,C3 Evidence,C4 Score,C4 Evidence,C5 Score,C5 Evidence,C6 Score,C6 Evidence,C7 Score,C7 Evidence,C8 Score,C8 Evidence,Total Score,Band,Verdict,Reasoning,Personalization Hook
Ananth Technologies,ananthtech.com,Hyderabad,Defence/Aerospace,Satellite systems and avionics,100-300Cr,Subba Rao Pavuluri,Founder & Chairman,Ex-ISRO scientist,Strong,ISRO-grade satellite integration,Strong,Ex-ISRO scientist founder,Strong,IN-SPACe space sector tailwind,Strong,Rs900Cr order book growth,Strong,AS9100 systems maturity,Strong,Gen2 leadership present,100,A,Strong Federer,Deep ISRO-linked manufacturing capability,First private Indian satellite systems company authorized under IN-SPACe
Avantel Ltd,avantel.in,Hyderabad,Defence electronics,SDR and electronic warfare systems,100-300Cr,Vidya Sagar Rao,MD,IIT + HAL experience,Strong,Defence-grade SDR systems,Strong,Technical founder,Strong,Defence indigenization push,Strong,3x revenue growth,Strong,New defence facility expansion,Strong,Gen2 operational involvement,100,A,Strong Federer,Defence communications specialist with strong growth,Hyderabad-based SDR supplier for Indian Navy modernization
MTAR Technologies,mtar.in,Hyderabad,Aerospace/Defence precision engineering,ISRO nuclear & aerospace components,300-500Cr,Parvat Srinivas Reddy,Founder,Engineering background,Strong,Precision aerospace components,Strong,Engineering founder,Strong,ISRO + nuclear tailwind,Strong,Export + order expansion,Strong,AS9100 certified systems,Strong,Family succession active,95,A,Strong Federer,High-precision aerospace supplier,Supplies critical components to ISRO missions
Zen Technologies,zentechnologies.com,Hyderabad,Defence simulation systems,Combat training simulators,100-300Cr,Ashok Atluri,Founder,IIT background,Strong,Simulation tech moat,Strong,Technical founder,Strong,Defence modernization demand,Strong,Strong order inflow,Strong,Structured defence procurement systems,Moderate,Early gen2 involvement,92,A,Strong Federer,Unique simulation tech player,Training systems used by Indian Armed Forces
Astra Microwave Products,astramwp.com,Hyderabad,Defence electronics,RF and microwave systems,300-500Cr,Chairman group,Technical leadership,Engineering background,Strong,RF defence systems,Strong,Technical engineering base,Strong,Defence radar expansion,Strong,Export growth signals,Strong,AS9100 + structured production,Moderate,Succession moderate,90,A,Strong Federer,Core radar subsystem supplier,RF systems used in Indian radar infrastructure
HBL Power Systems,hbl.in,Hyderabad,Energy/Defence batteries,Defence-grade batteries and power systems,300-500Cr,HBL leadership,Founder-led,Engineering background,Strong,Defence battery systems,Moderate,Engineering founder,Strong,EV + defence tailwind,Strong,Strong order growth,Strong,Manufacturing expansion,Moderate,Partial succession,88,A,Strong Federer,Defence + EV hybrid opportunity,Supplies batteries for defence applications
Elico Ltd,elico.co,Hyderabad,Instrumentation,Analytical instruments for labs,50-100Cr,Founder family,Technical promoters,Engineering background,Strong,Lab instrumentation manufacturing,Strong,Technical founders,Moderate,Healthcare + lab growth,Moderate,Steady expansion,Moderate,Moderate hiring,Moderate,Family-led structure,80,B,Probable Federer,Stable instrumentation company,Analytical instruments used in pharma labs
Synergies Castings,synergiescastings.com,Hyderabad,Precision engineering,Auto and aerospace castings,100-300Cr,Founder group,Engineering background,Strong,Precision casting capability,Moderate,Engineering-led,Moderate,Auto + EV growth,Moderate,Export growth,Moderate,Capacity expansion,Moderate,Family-led,78,B,Probable Federer,Mid-tier engineering supplier,Supplies precision components to auto sector,
Hema Engineering Industries,hemaengineering.com,Hyderabad,Auto components,Precision machined parts,100-300Cr,Founder group,Engineering background,Moderate,Auto components manufacturing,Moderate,Technical background,Moderate,EV transition tailwind,Moderate,Moderate growth,Moderate,Some expansion signals,Moderate,Family-led,75,B,Probable Federer,Auto supplier with moderate moat,Precision parts supplier for OEMs,
Aurobindo Pharma API units,aurobindo.com,Hyderabad,Pharma APIs,Active pharma ingredients,>500Cr,Large corporate,Corporate leadership,Professional management,Moderate,API manufacturing,Weak,Corporate structure,Strong,Pharma export tailwind,Strong,Strong revenue growth,Strong,Large scale systems,Moderate,No succession signal,70,C,Borderline,Too large scale and corporate,API manufacturing for global pharma markets
Laurus Labs API division,lauruslabs.com,Hyderabad,Pharma APIs,Pharma intermediates,>500Cr,Corporate leadership,Professional management,Corporate,Moderate,API manufacturing,Weak,Professional leadership,Strong,Pharma export growth,Strong,Revenue expansion,Strong,Strong systems,Weak,Large corporate structure,68,C,Borderline,Too large and institutional,Pharma API export growth company
Vimta Labs,vimtalabs.com,Hyderabad,Testing/CRO,Analytical testing services,50-100Cr,Founder group,Scientific background,Strong,Lab testing services,Weak,Service company,Moderate,Healthcare demand,Moderate,Stable revenue,Weak,No manufacturing systems,Weak,No succession,55,D,Not ICP,Service company not manufacturer,Clinical testing services provider,
Sai Life Sciences,sailife.com,Hyderabad,CRO/CDMO,Drug development services,300-500Cr,PE ownership,Institutional,PE-backed,Moderate,CDMO services,Weak,Institutional control,Strong,Pharma outsourcing tailwind,Strong,Growth via contracts,Moderate,Service systems,Weak,PE owned,58,D,Not ICP,PE controlled CRO,Drug development outsourcing company
Suven Pharma,suvenpharma.com,Hyderabad,Pharma CDMO,Drug intermediates,300-500Cr,Advent International,PE ownership,Institutional control,Moderate,CDMO capability,Weak,PE controlled,Strong,Pharma outsourcing,Strong,Revenue growth,Moderate,Corporate systems,Weak,PE owned,60,D,Not ICP,PE controlled removes Federer fit,CDMO under PE ownership
Olectra Greentech,olectra.com,Hyderabad,EV manufacturing,Electric buses,>500Cr,Megha Group,Corporate ownership,Large group,Moderate,EV manufacturing,Weak,Corporate structure,Strong,EV tailwind,Strong,High revenue,Strong,Large systems,Weak,Acquired company,62,D,Not ICP,Too large and acquired,Electric bus manufacturer
DuPont India,dupont.in,Hyderabad,Advanced materials,Specialty chemicals,>500Cr,Global MNC,Corporate,Global leadership,Strong,Advanced materials IP,Weak,MNC controlled,Strong,Global tailwind,Strong,Revenue strong,Strong,Enterprise systems,Weak,MNC structure,65,D,Not ICP,MNC not promoter-driven,Advanced materials R&D hub
BEL Hyderabad (unit),bel-india.in,Hyderabad,Defence PSU,Defence electronics,>500Cr,Government,PSU,Government controlled,Strong,Defence electronics,Weak,PSU structure,Strong,Defence tailwind,Strong,Large revenue,Strong,Highly structured,Weak,No succession,60,D,Not ICP,PSU excluded by rule,Government defence electronics PSU
HAL Hyderabad,hal-india.co.in,Hyderabad,Aerospace PSU,Aircraft manufacturing,>500Cr,Government,PSU,Government controlled,Strong,Aerospace manufacturing,Weak,PSU,Strong,Defence tailwind,Strong,Large revenue,Strong,Highly structured,Weak,No succession,60,D,Not ICP,PSU excluded,Aircraft manufacturing PSU
Aurobindo Biologics,aurobindo.com,Hyderabad,Biotech,Injectable biologics,>500Cr,Corporate,Professional,Corporate,Moderate,Biotech manufacturing,Weak,Corporate,Strong,Healthcare growth,Strong,Revenue expansion,Moderate,Structured systems,Weak,Large scale,65,C,Borderline,Too large for MSME ICP,Biotech manufacturing unit
Dr Reddy’s API,drreddys.com,Hyderabad,Pharma APIs,Global pharma intermediates,>500Cr,Corporate,Professional,Corporate,Moderate,API production,Weak,Corporate,Strong,Global pharma demand,Strong,Revenue strong,Strong,Large systems,Weak,Too large,65,C,Borderline,Too large corporate,Global API supplier
Bharat Dynamics Ltd,bdl-india.in,Hyderabad,Defence PSU,Missile systems,>500Cr,Government,PSU,Government,Strong,Missile manufacturing,Weak,PSU,Strong,Defence tailwind,Strong,Large revenue,Strong,Structured systems,Weak,PSU,60,D,Not ICP,PSU exclusion,Missile manufacturing PSU
Synergies Polymers,synergiesgroup.com,Hyderabad,Chemicals,Polymer compounds,100-300Cr,Founder group,Engineering,Moderate,Chemical manufacturing,Moderate,Technical founder,Moderate,Chemicals growth,Moderate,Stable expansion,Moderate,Partial systems,Moderate,Family led,78,B,Probable Federer,Mid-tier chemical producer,Specialty polymer compounds supplier,
ARCI Hyderabad (ecosystem spinouts),arci.res.in,Hyderabad,Advanced materials,R&D spin-off materials,Unknown,Scientific leadership,Research scientists,Strong,R&D materials,Strong,Scientific leadership,Strong,Advanced materials tailwind,Weak,Early stage,Weak,Lab systems,Moderate,No succession,72,C,Borderline,R&D heavy but weak commercialization,Advanced materials research ecosystem,